CUSTOMER_NM_Modified,MONTH_STRING,TONNAGE
 01 MORGAN H,January,1.24
 03 FARADAY,January,8.75
 04 FOUNDERS,January,4.2
 06 SALISBUR,January,8.469999999999999
 07 MORGAN H,January,8.06
 08 RECYCLE,January,6.4
 09 EAST HAL,January,3.05
 10 CAMPUS C,January,14.54
 01 MORGAN H,February,3.01
 02 DANIELS,February,8.25
 04 FOUNDERS,February,6.98
 06 SALISBUR,February,11.33
 07 MORGAN H,February,10.63
 09 EAST HAL,February,1.06
 10 CAMPUS C,February,21.62
 01 MORGAN H,March,3.71
 04 FOUNDERS,March,6.08
 06 SALISBUR,March,12.88
 07 MORGAN H,March,11.61
 08 RECYCLE,March,10.09
 09 EAST HAL,March,2.16
 10 CAMPUS C,March,22.05
 01 MORGAN H,April,2.8
 02 DANIELS,April,10.010000000000002
 03 FARADAY,April,9.81
 04 FOUNDERS,April,6.13
 06 SALISBUR,April,12.3
 07 MORGAN H,April,11.24
 08 RECYCLE,April,3.93
 09 EAST HAL,April,3.77
 10 CAMPUS C,April,21.14
 01 MORGAN H,May,0.95
 04 FOUNDERS,May,4.7700000000000005
 06 SALISBUR,May,8.09
 07 MORGAN H,May,7.96
 10 CAMPUS C,May,14.38
 01 MORGAN H,June,0.5
 02 DANIELS,June,5.33
 03 FARADAY,June,6.79
 04 FOUNDERS,June,1.23
 06 SALISBUR,June,8.68
 07 MORGAN H,June,2.84
 08 RECYCLE,June,6.21
 09 EAST HAL,June,3.27
 10 CAMPUS C,June,10.59
 12 RECYCLE,June,3.96
